name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Bond Fund,"456,771,396,161.8890","3,950,369,615.6337",115.6275,115.6275,115.6275,22-08-2023
Umoja Fund,"324,209,476,734.8260","345,236,020.5395",939.0952,939.0952,929.7042,21-08-2023
Wekeza Maisha Fund,"9,715,167,692.3993","12,078,361.8357",804.3448,804.3448,788.2579,21-08-2023
Watoto Fund,"12,012,385,648.3400","20,270,728.8029",592.5976,592.5976,586.6716,21-08-2023
Jikimu Fund,"20,247,950,595.8589","122,164,773.9680",165.743,165.743,162.4281,21-08-2023
Liquid Fund,"777,765,245,059.9969","2,115,912,127.2221",367.5792,367.5792,367.5792,21-08-2023
Bond Fund,"456,029,455,142.1250","3,945,039,512.5381",115.5957,115.5957,115.5957,21-08-2023
Umoja Fund,"324,029,227,290.4870","345,374,985.1234",938.1954,938.1954,928.8135,18-08-2023
Wekeza Maisha Fund,"9,695,896,353.1862","12,063,073.7492",803.7666,803.7666,787.6913,18-08-2023
Watoto Fund,"11,992,460,000.0184","20,251,071.2470",592.1889,592.1889,586.267,18-08-2023
Jikimu Fund,"20,268,981,923.1983","122,368,340.9645",165.6391,165.6391,162.3263,18-08-2023
Liquid Fund,"775,252,785,884.6820","2,110,825,346.4744",367.2747,367.2747,367.2747,18-08-2023
Bond Fund,"455,738,401,511.6850","3,945,761,419.9671",115.5007,115.5007,115.5007,18-08-2023
Umoja Fund,"323,954,290,780.0800","345,354,979.6547",938.0328,938.0328,928.6524,17-08-2023
Wekeza Maisha Fund,"9,688,860,179.7940","12,057,214.5123",803.5737,803.5737,787.5022,17-08-2023
Watoto Fund,"11,965,929,879.8604","20,210,941.9972",592.0521,592.0521,586.1315,17-08-2023
Jikimu Fund,"20,259,992,071.4620","122,339,531.5067",165.6046,165.6046,162.2925,17-08-2023
Liquid Fund,"774,606,212,830.2850","2,109,650,303.3925",367.1728,367.1728,367.1728,17-08-2023
Bond Fund,"455,038,536,066.7470","3,940,778,102.4277",115.4692,115.4692,115.4692,17-08-2023
Umoja Fund,"323,915,998,328.2400","345,363,091.7813",937.8999,937.8999,928.5209,16-08-2023
Wekeza Maisha Fund,"9,680,476,121.5379","12,049,580.9559",803.387,803.387,787.3192,16-08-2023
Watoto Fund,"11,955,990,158.3388","20,198,810.5381",591.9156,591.9156,585.9964,16-08-2023
Jikimu Fund,"20,252,754,313.4334","122,320,808.3985",165.5708,165.5708,162.2594,16-08-2023
Liquid Fund,"774,893,667,296.9370","2,111,012,344.0128",367.0721,367.0721,367.0721,16-08-2023
Bond Fund,"453,863,956,012.0150","3,931,656,738.5485",115.4383,115.4383,115.4383,16-08-2023
Umoja Fund,"323,851,932,921.6150","345,333,051.8132",937.7959,937.7959,928.418,15-08-2023
Wekeza Maisha Fund,"9,674,778,120.5929","12,041,308.1239",803.4657,803.4657,787.3964,15-08-2023
Watoto Fund,"11,915,973,203.0883","20,131,661.9811",591.9021,591.9021,585.9831,15-08-2023
Jikimu Fund,"20,253,868,723.8994","122,315,091.6974",165.5877,165.5877,162.2759,15-08-2023
Liquid Fund,"774,907,557,864.7280","2,111,629,240.3213",366.9714,366.9714,366.9714,15-08-2023
Bond Fund,"453,716,651,685.6060","3,931,436,120.1515",115.4074,115.4074,115.4074,15-08-2023
Umoja Fund,"323,733,521,858.4200","345,473,701.2081",937.0714,937.0714,927.7007,14-08-2023
Wekeza Maisha Fund,"9,648,015,300.5195","12,012,445.8627",803.1683,803.1683,787.1049,14-08-2023
Watoto Fund,"11,867,287,268.0039","20,059,479.9376",591.6049,591.6049,585.6889,14-08-2023
Jikimu Fund,"20,137,445,132.8635","121,685,246.3310",165.488,165.488,162.1782,14-08-2023
Liquid Fund,"775,533,167,079.7629","2,113,918,839.3068",366.8699,366.8699,366.8699,14-08-2023
Bond Fund,"452,215,290,114.9170","3,919,473,626.9765",115.3765,115.3765,115.3765,14-08-2023
Umoja Fund,"323,501,092,596.5160","345,363,816.3154",936.6965,936.6965,927.3296,11-08-2023
Wekeza Maisha Fund,"9,628,352,062.3258","11,993,179.4035",802.819,802.819,786.7626,11-08-2023
Watoto Fund,"11,835,871,198.0517","20,016,911.8391",591.2936,591.2936,585.3806,11-08-2023
Jikimu Fund,"20,055,802,300.4452","121,236,433.1105",165.4272,165.4272,162.1186,11-08-2023
Liquid Fund,"775,358,271,609.0900","2,115,175,505.0618",366.5692,366.5692,366.5692,11-08-2023
Bond Fund,"449,411,579,544.3490","3,898,300,610.6620",115.284,115.284,115.284,11-08-2023
Umoja Fund,"323,506,088,836.3100","345,343,976.6459",936.7648,936.7648,927.3972,10-08-2023
Wekeza Maisha Fund,"9,620,491,769.4917","11,986,185.0879",802.6317,802.6317,786.579,10-08-2023
Watoto Fund,"11,829,784,997.1791","20,007,849.7915",591.2572,591.2572,585.3446,10-08-2023
Jikimu Fund,"20,015,648,083.5072","120,970,637.3653",165.4587,165.4587,162.1496,10-08-2023
Liquid Fund,"776,760,782,371.6600","2,119,581,215.2366",366.469,366.469,366.469,10-08-2023
Bond Fund,"448,661,990,842.7610","3,892,846,807.6529",115.2529,115.2529,115.2529,10-08-2023
Umoja Fund,"323,480,768,546.5330","345,640,423.8237",935.8881,935.8881,926.5292,09-08-2023
Wekeza Maisha Fund,"9,613,225,456.8320","11,986,299.6234",802.0178,802.0178,785.9774,09-08-2023
Watoto Fund,"11,810,611,105.1927","19,988,462.3854",590.8714,590.8714,584.9627,09-08-2023
Jikimu Fund,"20,028,488,310.3210","121,158,725.9357",165.3078,165.3078,162.0017,09-08-2023
Liquid Fund,"775,035,924,805.4380","2,115,451,437.6595",366.369,366.369,366.369,09-08-2023
Bond Fund,"447,410,838,731.3440","3,883,038,236.5576",115.2218,115.2218,115.2218,09-08-2023
