name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Liquid Fund,"2,524,500,785.7000","17,970,769.3200",140.4782,140.4782,140.4782,22-03-2016
Umoja Fund,"215,967,405,705.7700","464,381,386.9400",465.0647,465.0647,460.4141,21-03-2016
Wekeza Maisha Fund,"3,477,768,505.9900","11,461,843.6800",303.4214,303.4214,297.353,21-03-2016
Watoto Fund,"2,841,463,787.9300","10,246,532.1700",277.3098,277.3098,274.5367,21-03-2016
Jikimu Fund,"28,072,564,612.5800","229,162,483.2600",122.5007,122.5007,120.0507,21-03-2016
Liquid Fund,"2,523,503,371.3300","17,970,769.3200",140.4227,140.4227,140.4227,21-03-2016
Umoja Fund,"215,808,985,299.0500","464,316,632.5100",464.7884,464.7884,460.1405,18-03-2016
Wekeza Maisha Fund,"3,472,304,352.8600","11,460,469.3500",302.981,302.981,296.9214,18-03-2016
Watoto Fund,"2,838,329,639.2200","10,242,709.7300",277.1073,277.1073,274.3362,18-03-2016
Jikimu Fund,"28,039,427,446.6200","229,080,851.0700",122.3997,122.3997,119.9517,18-03-2016
Liquid Fund,"2,520,510,759.3000","17,970,769.3200",140.2561,140.2561,140.2561,18-03-2016
Umoja Fund,"218,155,503,539.9500","464,197,676.1200",469.9625,469.9625,465.2629,17-03-2016
Wekeza Maisha Fund,"3,482,679,325.7300","11,436,049.2300",304.5352,304.5352,298.4445,17-03-2016
Watoto Fund,"2,858,807,205.5100","10,242,637.5600",279.1085,279.1085,276.3174,17-03-2016
Jikimu Fund,"28,134,843,917.6500","229,045,638.5600",122.8351,122.8351,120.3784,17-03-2016
Liquid Fund,"2,519,513,098.9800","17,970,769.3200",140.2006,140.2006,140.2006,17-03-2016
Umoja Fund,"218,083,527,743.6800","464,180,397.0300",469.8249,469.8249,465.1267,16-03-2016
Wekeza Maisha Fund,"3,493,333,839.2500","11,435,967.1400",305.469,305.469,299.3597,16-03-2016
Watoto Fund,"2,864,182,530.1800","10,240,487.8600",279.692,279.692,276.8951,16-03-2016
Jikimu Fund,"28,169,044,897.0900","229,255,013.1200",122.8721,122.8721,120.4147,16-03-2016
Liquid Fund,"2,518,603,901.2900","17,970,769.3200",140.15,140.15,140.15,16-03-2016
Umoja Fund,"218,077,703,428.7300","463,716,291.9200",470.2826,470.2826,465.5798,15-03-2016
Wekeza Maisha Fund,"3,496,022,070.0600","11,429,613.0800",305.8741,305.8741,299.7566,15-03-2016
Watoto Fund,"2,865,880,349.3700","10,234,153.9000",280.031,280.031,277.2307,15-03-2016
Jikimu Fund,"28,170,273,634.7800","229,156,097.4300",122.9305,122.9305,120.4719,15-03-2016
Liquid Fund,"2,508,696,090.0200","17,906,552.4200",140.0993,140.0993,140.0993,15-03-2016
Umoja Fund,"218,230,027,087.8000","464,121,143.6700",470.2006,470.2006,465.4986,14-03-2016
Wekeza Maisha Fund,"3,496,661,891.4900","11,434,189.4800",305.8076,305.8076,299.6914,14-03-2016
Watoto Fund,"2,876,146,750.1900","10,271,974.6900",279.9994,279.9994,277.1994,14-03-2016
Jikimu Fund,"28,198,547,158.0200","229,437,979.4600",122.9027,122.9027,120.4446,14-03-2016
Liquid Fund,"2,219,934,365.7900","15,851,581.9300",140.045,140.045,140.045,14-03-2016
Umoja Fund,"217,943,201,999.6300","464,022,127.3300",469.6828,469.6828,464.986,11-03-2016
Wekeza Maisha Fund,"3,488,951,276.4400","11,433,535.4700",305.1507,305.1507,299.0477,11-03-2016
Watoto Fund,"2,871,575,390.2600","10,269,425.9600",279.6237,279.6237,276.8275,11-03-2016
Jikimu Fund,"28,137,240,068.4700","229,313,197.6100",122.7022,122.7022,120.2482,11-03-2016
Umoja Fund,"220,182,064,991.9100","463,976,216.6600",474.5546,474.5546,469.8091,10-03-2016
Wekeza Maisha Fund,"3,509,297,066.0200","11,431,842.2800",306.9756,306.9756,300.8361,10-03-2016
Watoto Fund,"2,892,388,631.1800","10,266,457.6900",281.7319,281.7319,278.9146,10-03-2016
Jikimu Fund,"28,248,753,822.5700","229,305,047.8000",123.1929,123.1929,120.729,10-03-2016
Liquid Fund,"1,666,697,143.3700","11,919,692.7400",139.8272,139.8272,139.8272,10-03-2016
Umoja Fund,"220,343,612,870.2900","463,927,992.5000",474.9522,474.9522,470.2027,09-03-2016
Wekeza Maisha Fund,"3,516,803,596.7700","11,431,190.7600",307.6498,307.6498,301.4968,09-03-2016
Watoto Fund,"2,898,781,776.3200","10,266,067.2500",282.3654,282.3654,279.5417,09-03-2016
Jikimu Fund,"28,258,805,560.9700","229,246,602.8700",123.2682,123.2682,120.8028,09-03-2016
Liquid Fund,"1,666,053,583.1400","11,919,692.7400",139.7732,139.7732,139.7732,09-03-2016
Umoja Fund,"219,978,297,742.2700","463,868,505.0200",474.2256,474.2256,469.4833,08-03-2016
Wekeza Maisha Fund,"3,496,846,115.3300","11,428,854.3600",305.9665,305.9665,299.8471,08-03-2016
Watoto Fund,"2,886,037,066.0400","10,260,611.4400",281.2734,281.2734,278.4607,08-03-2016
Jikimu Fund,"28,182,198,431.3800","228,961,988.0600",123.0868,123.0868,120.6251,08-03-2016
Liquid Fund,"1,665,411,031.8000","11,919,692.7400",139.7193,139.7193,139.7193,08-03-2016
Umoja Fund,"220,412,211,457.9900","463,776,786.7700",475.2549,475.2549,470.5024,07-03-2016
Wekeza Maisha Fund,"3,502,028,464.3900","11,425,800.2800",306.5018,306.5018,300.3718,07-03-2016
Watoto Fund,"2,888,585,608.6900","10,235,763.2300",282.2052,282.2052,279.3831,07-03-2016
Jikimu Fund,"28,132,786,685.2400","228,215,316.2900",123.273,123.273,120.8075,07-03-2016
Liquid Fund,"1,659,773,316.0300","11,883,990.1100",139.6646,139.6646,139.6646,07-03-2016
Umoja Fund,"219,819,971,842.6300","463,776,786.7700",473.978,473.978,469.2382,04-03-2016
Wekeza Maisha Fund,"3,487,708,411.2700","11,425,800.2800",305.2485,305.2485,299.1435,04-03-2016
Watoto Fund,"2,880,564,864.6200","10,235,763.2300",281.4216,281.4216,278.6074,04-03-2016
Jikimu Fund,"28,076,006,714.5400","228,215,316.2900",123.0242,123.0242,120.5637,04-03-2016
Liquid Fund,"1,657,856,303.8000","11,883,990.1100",139.5033,139.5033,139.5033,04-03-2016
Umoja Fund,"220,209,120,289.1800","464,549,405.3800",474.0273,474.0273,469.2871,03-03-2016
Wekeza Maisha Fund,"3,489,837,203.0400","11,424,544.4500",305.4684,305.4684,299.359,03-03-2016
Watoto Fund,"2,881,558,746.1600","10,234,003.7100",281.5671,281.5671,278.7514,03-03-2016
Jikimu Fund,"28,085,663,418.6200","228,196,058.0600",123.0769,123.0769,120.6154,03-03-2016
Liquid Fund,"1,657,204,275.7300","11,883,990.1100",139.4485,139.4485,139.4485,03-03-2016
Umoja Fund,"221,102,868,640.4100","464,464,526.5800",476.0382,476.0382,471.2778,02-03-2016
Wekeza Maisha Fund,"3,494,901,970.6100","11,422,209.2200",305.9743,305.9743,299.8548,02-03-2016
Watoto Fund,"2,888,584,840.7100","10,228,627.4200",282.402,282.402,279.578,02-03-2016
Jikimu Fund,"28,123,274,970.3900","228,130,383.9700",123.2772,123.2772,120.8117,02-03-2016
Liquid Fund,"1,656,561,904.8200","11,883,990.1100",139.3944,139.3944,139.3944,02-03-2016
Umoja Fund,"221,203,508,169.2700","464,417,405.6400",476.3032,476.3032,471.5402,01-03-2016
Wekeza Maisha Fund,"3,491,449,106.4900","11,418,415.1000",305.7735,305.7735,299.6581,01-03-2016
Watoto Fund,"2,873,782,741.7900","10,174,403.8200",282.4522,282.4522,279.6277,01-03-2016
Jikimu Fund,"27,944,879,724.1800","226,780,960.2500",123.2241,123.2241,120.7596,01-03-2016
Liquid Fund,"1,655,919,494.3200","11,883,990.1100",139.3404,139.3404,139.3404,01-03-2016
Umoja Fund,"221,186,649,352.5300","464,417,447.6300",476.2669,476.2669,471.5042,29-02-2016
Wekeza Maisha Fund,"3,487,814,144.2900","11,418,415.1000",305.4552,305.4552,299.3461,29-02-2016
Watoto Fund,"2,873,223,149.5800","10,174,403.8200",282.3972,282.3972,279.5732,29-02-2016
Jikimu Fund,"27,935,627,061.0000","226,780,960.2500",123.1833,123.1833,120.7196,29-02-2016
Liquid Fund,"1,655,277,044.2200","11,883,990.1100",139.2863,139.2863,139.2863,29-02-2016
Umoja Fund,"222,336,268,157.7200","467,129,305.3800",475.963,475.963,471.2034,26-02-2016
Wekeza Maisha Fund,"3,482,765,004.0200","11,417,869.3600",305.0276,305.0276,298.927,26-02-2016
Watoto Fund,"2,869,994,378.9400","10,170,241.6000",282.1953,282.1953,279.3733,26-02-2016
Jikimu Fund,"28,022,258,101.9000","227,661,837.3100",123.0872,123.0872,120.6255,26-02-2016
Liquid Fund,"1,653,349,935.4700","11,883,990.1100",139.1241,139.1241,139.1241,26-02-2016
Umoja Fund,"222,304,295,771.4900","467,134,919.6200",475.8888,475.8888,471.13,25-02-2016
Wekeza Maisha Fund,"3,486,224,669.8300","11,417,745.8600",305.3339,305.3339,299.2272,25-02-2016
Watoto Fund,"2,871,094,403.4500","10,164,724.0200",282.4567,282.4567,279.6321,25-02-2016
Jikimu Fund,"27,990,570,785.1900","227,374,843.1000",123.1032,123.1032,120.6411,25-02-2016
Liquid Fund,"1,652,707,486.6900","11,883,990.1100",139.0701,139.0701,139.0701,25-02-2016
Umoja Fund,"222,635,126,311.0700","467,004,387.3800",476.7303,476.7303,471.963,24-02-2016
Wekeza Maisha Fund,"3,486,054,010.6500","11,417,657.4300",305.3213,305.3213,299.2149,24-02-2016
Watoto Fund,"2,872,594,841.7500","10,162,847.2800",282.6565,282.6565,279.8299,24-02-2016
Jikimu Fund,"27,890,839,301.7000","226,501,404.1300",123.1376,123.1376,120.6748,24-02-2016
Liquid Fund,"1,647,065,799.6700","11,848,037.0100",139.0159,139.0159,139.0159,24-02-2016
Umoja Fund,"222,233,891,681.8700","467,168,412.1000",475.704,475.704,470.947,23-02-2016
Wekeza Maisha Fund,"3,479,919,962.9100","11,415,194.4500",304.8498,304.8498,298.7528,23-02-2016
Watoto Fund,"2,859,698,334.6700","10,149,329.1900",281.7623,281.7623,278.9447,23-02-2016
Jikimu Fund,"27,896,371,449.4700","226,709,084.2500",123.0492,123.0492,120.5882,23-02-2016
Liquid Fund,"1,641,424,874.4800","11,812,069.9100",138.9617,138.9617,138.9617,23-02-2016
Umoja Fund,"222,305,539,718.0100","467,354,238.5300",475.6682,475.6682,470.9115,22-02-2016
Wekeza Maisha Fund,"3,487,032,567.0700","11,415,195.8500",305.4729,305.4729,299.3634,22-02-2016
Watoto Fund,"2,867,893,906.2700","10,148,179.9000",282.6018,282.6018,279.7758,22-02-2016
Jikimu Fund,"27,936,137,886.4200","226,966,225.6700",123.085,123.085,120.6233,22-02-2016
Liquid Fund,"1,640,783,909.7700","11,812,069.9100",138.9074,138.9074,138.9074,22-02-2016
Umoja Fund,"222,068,358,459.7600","467,139,588.2400",475.379,475.379,470.6252,19-02-2016
Wekeza Maisha Fund,"3,470,476,877.0000","11,383,532.3800",304.8682,304.8682,298.7708,19-02-2016
Watoto Fund,"2,861,688,765.0000","10,136,481.0800",282.3158,282.3158,279.4926,19-02-2016
Jikimu Fund,"27,828,411,668.4500","226,316,432.2500",122.9624,122.9624,120.5032,19-02-2016
Liquid Fund,"1,638,860,778.5800","11,812,069.9100",138.7446,138.7446,138.7446,19-02-2016
Umoja Fund,"222,028,309,659.6000","467,143,787.8900",475.289,475.289,470.5361,18-02-2016
Wekeza Maisha Fund,"3,460,196,734.8300","11,383,532.3800",303.9651,303.9651,297.8858,18-02-2016
Watoto Fund,"2,856,212,024.2800","10,136,481.0800",281.7755,281.7755,278.9577,18-02-2016
Jikimu Fund,"27,811,392,672.7400","226,316,432.2500",122.8872,122.8872,120.4295,18-02-2016
Liquid Fund,"1,638,219,655.8100","11,812,069.9100",138.6903,138.6903,138.6903,18-02-2016
Umoja Fund,"222,331,353,420.0800","466,959,161.3300",476.1259,476.1259,471.3646,17-02-2016
Wekeza Maisha Fund,"3,460,444,786.2600","11,383,422.4900",303.9898,303.9898,297.91,17-02-2016
Watoto Fund,"2,858,877,932.6900","10,135,061.6900",282.078,282.078,279.2572,17-02-2016
Jikimu Fund,"27,777,841,283.1500","225,968,565.9900",122.9279,122.9279,120.4693,17-02-2016
Liquid Fund,"1,637,578,493.5300","11,812,069.9100",138.636,138.636,138.636,17-02-2016
Umoja Fund,"222,368,133,951.8700","466,648,222.5500",476.522,476.522,471.7568,16-02-2016
Wekeza Maisha Fund,"3,459,643,407.6300","11,382,013.4300",303.9571,303.9571,297.8779,16-02-2016
Watoto Fund,"2,858,120,311.6500","10,133,162.5600",282.0561,282.0561,279.2355,16-02-2016
Jikimu Fund,"27,711,991,402.8000","225,195,102.8100",123.0577,123.0577,120.5965,16-02-2016
Liquid Fund,"1,636,937,291.7200","11,812,069.9100",138.5817,138.5817,138.5817,16-02-2016
Umoja Fund,"222,225,751,322.8300","466,595,669.7400",476.2705,476.2705,471.5078,15-02-2016
Wekeza Maisha Fund,"3,457,940,896.5100","11,381,074.4100",303.8326,303.8326,297.7559,15-02-2016
Watoto Fund,"2,853,183,930.3500","10,114,893.7100",282.0775,282.0775,279.2567,15-02-2016
Jikimu Fund,"27,641,383,438.5800","224,878,441.8600",122.917,122.917,120.4587,15-02-2016
Liquid Fund,"1,616,299,255.8700","11,667,750.7600",138.5271,138.5271,138.5271,15-02-2016
Umoja Fund,"221,671,469,399.7000","466,527,941.3000",475.1515,475.1515,470.4,12-02-2016
Wekeza Maisha Fund,"3,447,310,206.3500","11,376,274.5200",303.0263,303.0263,296.9658,12-02-2016
Watoto Fund,"2,847,443,046.7700","10,108,973.3500",281.6748,281.6748,278.8581,12-02-2016
Jikimu Fund,"27,597,621,976.6900","224,858,102.9400",122.7335,122.7335,120.2788,12-02-2016
Liquid Fund,"1,614,384,912.3300","11,667,750.7600",138.363,138.363,138.363,12-02-2016
Umoja Fund,"222,261,914,464.7200","466,464,700.0100",476.4817,476.4817,471.7169,11-02-2016
Wekeza Maisha Fund,"3,461,023,153.3000","11,399,858.1800",303.6023,303.6023,297.5303,11-02-2016
Watoto Fund,"2,858,347,224.7800","10,108,425.0600",282.7688,282.7688,279.9411,11-02-2016
Jikimu Fund,"27,566,609,130.2300","224,304,234.7200",122.8983,122.8983,120.4403,11-02-2016
Liquid Fund,"1,557,766,790.4000","11,263,018.2600",138.3081,138.3081,138.3081,11-02-2016
Umoja Fund,"222,418,542,064.6900","466,895,972.5000",476.3771,476.3771,471.6133,10-02-2016
Wekeza Maisha Fund,"3,460,291,569.9000","11,397,742.9800",303.5945,303.5945,297.5226,10-02-2016
Watoto Fund,"2,857,529,331.9900","10,105,940.0500",282.7574,282.7574,279.9298,10-02-2016
Jikimu Fund,"27,529,943,559.4300","224,061,499.9200",122.8678,122.8678,120.4104,10-02-2016
Liquid Fund,"1,557,242,414.2900","11,263,018.2600",138.2616,138.2616,138.2616,10-02-2016
Umoja Fund,"221,156,447,643.8300","466,733,781.6400",473.8385,473.8385,469.1001,09-02-2016
Wekeza Maisha Fund,"3,440,073,231.6900","11,394,112.8000",301.9167,301.9167,295.8784,09-02-2016
Watoto Fund,"2,845,840,143.1100","10,107,050.3400",281.5698,281.5698,278.7541,09-02-2016
Jikimu Fund,"27,380,692,625.0600","223,369,619.4400",122.5802,122.5802,120.1286,09-02-2016
Liquid Fund,"1,150,783,077.2500","8,326,554.8200",138.2064,138.2064,138.2064,09-02-2016
Umoja Fund,"222,691,198,488.6300","466,647,867.3800",477.2146,477.2146,472.4425,08-02-2016
Wekeza Maisha Fund,"3,434,972,201.2300","11,375,134.7700",301.972,301.972,295.9326,08-02-2016
Watoto Fund,"2,850,772,258.7700","10,095,685.6300",282.3753,282.3753,279.5515,08-02-2016
Jikimu Fund,"27,300,602,217.8900","222,351,648.4400",122.8535,122.8535,120.3964,08-02-2016
Liquid Fund,"1,150,323,711.9000","8,326,554.8200",138.1512,138.1512,138.1512,08-02-2016
Umoja Fund,"222,564,765,074.9900","466,590,467.7900",477.0024,477.0024,472.2324,05-02-2016
Wekeza Maisha Fund,"3,431,406,657.2900","11,373,933.9200",301.6904,301.6904,295.6566,05-02-2016
Watoto Fund,"2,848,840,726.5700","10,094,150.2300",282.2269,282.2269,279.4046,05-02-2016
Jikimu Fund,"27,300,602,217.8900","222,351,648.4400",122.7812,122.7812,120.3256,05-02-2016
Liquid Fund,"1,137,950,735.3200","8,246,931.9300",137.9847,137.9847,137.9847,05-02-2016
Umoja Fund,"222,411,980,248.6800","466,388,730.0500",476.8811,476.8811,472.1123,04-02-2016
Wekeza Maisha Fund,"3,430,129,015.2000","11,373,701.5400",301.5842,301.5842,295.5525,04-02-2016
Watoto Fund,"2,848,029,551.9300","10,092,552.6800",282.1912,282.1912,279.3693,04-02-2016
Jikimu Fund,"27,069,746,027.3300","220,541,476.5900",122.7422,122.7422,120.2874,04-02-2016
Liquid Fund,"1,137,430,375.5400","8,246,931.9300",137.9216,137.9216,137.9216,04-02-2016
Umoja Fund,"222,423,997,365.0900","466,388,730.0500",476.9069,476.9069,472.1378,03-02-2016
Wekeza Maisha Fund,"3,440,133,794.8200","11,373,701.5400",302.4639,302.4639,296.4146,03-02-2016
Watoto Fund,"2,853,422,002.8300","10,092,552.6800",282.7255,282.7255,279.8982,03-02-2016
Jikimu Fund,"27,087,543,724.4900","220,541,476.5900",122.8229,122.8229,120.3664,03-02-2016
Liquid Fund,"1,137,085,457.2200","8,246,931.9300",137.8798,137.8798,137.8798,03-02-2016
Umoja Fund,"222,425,653,155.2000","466,358,586.2200",476.9413,476.9413,472.1719,02-02-2016
Wekeza Maisha Fund,"3,439,209,402.6200","11,369,985.7100",302.4814,302.4814,296.4318,02-02-2016
Watoto Fund,"2,852,253,525.4200","10,085,269.9700",282.8138,282.8138,279.9857,02-02-2016
Jikimu Fund,"27,051,537,766.9900","220,235,950.6200",122.8298,122.8298,120.3732,02-02-2016
Liquid Fund,"1,106,745,325.8700","8,029,351.1300",137.8375,137.8375,137.8375,02-02-2016
Umoja Fund,"223,569,600,150.6100","468,662,805.8000",477.0372,477.0372,472.2668,01-02-2016
Wekeza Maisha Fund,"3,439,985,796.7500","11,367,847.3900",302.6066,302.6066,296.5545,01-02-2016
Watoto Fund,"2,846,539,741.1400","10,060,644.8600",282.9381,282.9381,280.1087,01-02-2016
Jikimu Fund,"27,054,953,720.9300","220,185,782.6000",122.8733,122.8733,120.4158,01-02-2016
Liquid Fund,"1,106,405,173.5500","8,029,351.1300",137.7951,137.7951,137.7951,01-02-2016
Umoja Fund,"223,386,916,680.3200","468,650,000.2600",476.6604,476.6604,471.8938,29-01-2016
Wekeza Maisha Fund,"3,435,539,004.3500","11,365,573.3200",302.2759,302.2759,296.2304,29-01-2016
Watoto Fund,"2,843,308,205.8100","10,059,160.4400",282.6586,282.6586,279.832,29-01-2016
Jikimu Fund,"27,025,253,545.4300","220,144,553.1400",122.7614,122.7614,120.3062,29-01-2016
Liquid Fund,"895,485,809.2300","6,505,349.0900",137.6538,137.6538,137.6538,29-01-2016
Umoja Fund,"223,332,074,216.8300","468,581,376.0400",476.6132,476.6132,471.8471,28-01-2016
Wekeza Maisha Fund,"3,434,414,542.5100","11,362,490.8500",302.2589,302.2589,296.2138,28-01-2016
Watoto Fund,"2,843,967,947.6800","10,061,590.6000",282.6559,282.6559,279.8293,28-01-2016
Jikimu Fund,"27,046,715,742.5400","220,347,562.0100",122.7457,122.7457,120.2908,28-01-2016
Liquid Fund,"895,186,008.5200","6,505,349.0900",137.6077,137.6077,137.6077,28-01-2016
Umoja Fund,"223,140,928,110.6800","468,557,672.0100",476.2294,476.2294,471.4671,27-01-2016
Wekeza Maisha Fund,"3,434,236,526.3700","11,360,476.0300",302.2617,302.2617,296.2164,27-01-2016
Watoto Fund,"2,839,052,360.0500","10,060,437.2000",282.1997,282.1997,279.3777,27-01-2016
Jikimu Fund,"27,000,611,618.1000","220,148,079.8100",122.6475,122.6475,120.1946,27-01-2016
Liquid Fund,"864,908,839.7800","6,287,338.0100",137.5636,137.5636,137.5636,27-01-2016
Umoja Fund,"223,072,711,234.8900","468,471,232.4800",476.1716,476.1716,471.4099,26-01-2016
Wekeza Maisha Fund,"3,442,574,279.3600","11,360,476.0300",303.0308,303.0308,296.9702,26-01-2016
Watoto Fund,"2,843,139,780.6100","10,059,756.8300",282.6251,282.6251,279.7988,26-01-2016
Jikimu Fund,"27,001,549,857.5800","220,060,454.9400",122.7006,122.7006,120.2466,26-01-2016
Liquid Fund,"814,639,667.6700","5,923,869.7600",137.5182,137.5182,137.5182,26-01-2016
Umoja Fund,"222,891,202,577.0800","468,331,701.9300",475.9259,475.9259,471.1667,22-01-2016
Wekeza Maisha Fund,"3,463,114,640.7200","11,359,207.3600",304.8729,304.8729,298.7755,22-01-2016
Watoto Fund,"2,839,703,153.8900","9,998,757.6100",284.0056,284.0056,281.1655,22-01-2016
Jikimu Fund,"26,882,932,918.2800","219,100,521.9200",122.6968,122.6968,120.2429,22-01-2016
Liquid Fund,"763,586,855.9400","5,560,161.2300",137.3318,137.3318,137.3318,22-01-2016
Umoja Fund,"222,700,063,463.3100","468,129,754.2200",475.7229,475.7229,470.9657,21-01-2016
Wekeza Maisha Fund,"3,463,306,213.1100","11,365,447.4400",304.7224,304.7224,298.6279,21-01-2016
Watoto Fund,"2,847,712,885.4300","10,029,015.5300",283.9474,283.9474,281.1079,21-01-2016
Jikimu Fund,"26,917,019,396.9300","219,365,102.3900",122.7042,122.7042,120.2501,21-01-2016
Liquid Fund,"763,325,616.0500","5,560,161.2300",137.2848,137.2848,137.2848,21-01-2016
Umoja Fund,"222,861,327,529.8500","468,047,711.3800",476.1509,476.1509,471.3894,20-01-2016
Wekeza Maisha Fund,"3,456,392,814.1900","11,336,732.7800",304.8844,304.8844,298.7867,20-01-2016
Watoto Fund,"2,848,224,945.1700","10,025,141.6400",284.1082,284.1082,281.2671,20-01-2016
Jikimu Fund,"26,859,892,303.1700","218,849,238.6900",122.7324,122.7324,120.2778,20-01-2016
Liquid Fund,"763,064,360.0700","5,560,161.2300",137.2378,137.2378,137.2378,20-01-2016
Umoja Fund,"223,003,146,515.4100","467,869,675.2200",476.6352,476.6352,471.8688,19-01-2016
Wekeza Maisha Fund,"3,466,339,920.1400","11,379,723.8400",304.6067,304.6067,298.5145,19-01-2016
Watoto Fund,"2,843,307,588.4700","10,018,207.6600",283.814,283.814,280.9759,19-01-2016
Jikimu Fund,"26,879,754,418.0300","218,669,701.7500",122.924,122.924,120.4655,19-01-2016
Liquid Fund,"764,303,087.9800","5,571,203.6900",137.1881,137.1881,137.1881,19-01-2016
Umoja Fund,"222,997,514,705.5100","467,862,268.2200",476.6307,476.6307,471.8644,18-01-2016
Wekeza Maisha Fund,"3,466,046,442.5900","11,375,879.8300",304.6838,304.6838,298.5901,18-01-2016
Watoto Fund,"2,837,463,969.2200","9,994,494.4800",283.9027,283.9027,281.0637,18-01-2016
Jikimu Fund,"26,766,804,377.5300","217,770,682.7700",122.9128,122.9128,120.4545,18-01-2016
Liquid Fund,"764,041,892.2500","5,571,203.6900",137.1413,137.1413,137.1413,18-01-2016
Umoja Fund,"222,833,613,347.1500","467,728,810.6200",476.4163,476.4163,471.6521,15-01-2016
Wekeza Maisha Fund,"3,465,077,311.9200","11,374,922.1100",304.6243,304.6243,298.5318,15-01-2016
Watoto Fund,"2,836,161,890.0000","9,989,542.1900",283.9131,283.9131,281.074,15-01-2016
Jikimu Fund,"26,450,873,241.5500","215,356,427.4800",122.8237,122.8237,120.3672,15-01-2016
Liquid Fund,"763,258,208.4500","5,571,203.6900",137.0006,137.0006,137.0006,15-01-2016
Watoto Fund,"2,830,247,178.5200","9,964,922.2400",284.021,284.021,281.1808,14-01-2016
Jikimu Fund,"26,450,873,241.5500","215,356,427.4800",122.8839,122.8839,120.4262,14-01-2016
Jikimu Fund,"26,450,873,241.5500","215,356,427.4800",122.8839,122.8839,120.4262,14-01-2016
Liquid Fund,"713,008,044.2000","5,206,122.1100",136.9557,136.9557,136.9557,14-01-2016
Liquid Fund,"713,008,044.2000","5,206,122.1100",136.9557,136.9557,136.9557,14-01-2016
Umoja Fund,"222,681,017,026.5500","467,397,655.4700",476.4273,476.4273,471.6631,13-01-2016
Wekeza Maisha Fund,"3,465,080,222.2800","11,369,976.7000",304.757,304.757,298.6619,13-01-2016
Watoto Fund,"2,828,833,969.0900","9,960,819.7800",283.9961,283.9961,281.1561,13-01-2016
Jikimu Fund,"26,287,867,849.5500","213,970,743.7000",122.8573,122.8573,120.4002,13-01-2016
Liquid Fund,"712,754,782.3500","5,206,122.1100",136.907,136.907,136.907,13-01-2016
Umoja Fund,"222,605,789,749.5600","467,395,468.5100",476.2686,476.2686,471.5059,11-01-2016
Wekeza Maisha Fund,"3,467,499,692.4500","11,380,058.2300",304.6996,304.6996,298.6057,11-01-2016
Watoto Fund,"2,828,393,700.8600","9,960,819.7800",283.9519,283.9519,281.1124,11-01-2016
Jikimu Fund,"26,276,698,576.7300","213,970,743.7000",122.8051,122.8051,120.349,11-01-2016
Liquid Fund,"712,248,211.8300","5,206,122.1100",136.8097,136.8097,136.8097,11-01-2016
Umoja Fund,"222,170,183,137.7500","466,746,815.7700",475.9972,475.9972,471.2372,08-01-2016
Wekeza Maisha Fund,"3,465,128,781.8800","11,376,779.1200",304.5791,304.5791,298.4875,08-01-2016
Watoto Fund,"2,823,341,906.4400","9,947,751.2300",283.8171,283.8171,280.9789,08-01-2016
Jikimu Fund,"26,047,028,025.5300","212,228,424.7900",122.7311,122.7311,120.2765,08-01-2016
Liquid Fund,"711,488,238.9500","5,206,122.1100",136.6638,136.6638,136.6638,08-01-2016
Umoja Fund,"222,177,505,339.9300","466,746,815.7700",476.0129,476.0129,471.2528,07-01-2016
Wekeza Maisha Fund,"3,467,787,094.5900","11,378,367.1200",304.7702,304.7702,298.6748,07-01-2016
Watoto Fund,"2,825,550,307.2100","9,947,751.2300",284.0391,284.0391,281.1987,07-01-2016
Jikimu Fund,"26,049,256,423.9900","212,228,424.7900",122.7416,122.7416,120.2868,07-01-2016
Liquid Fund,"711,254,146.6100","5,206,122.1100",136.6188,136.6188,136.6188,07-01-2016
Umoja Fund,"221,166,551,241.7400","466,763,570.7700",473.8299,473.8299,469.0916,06-01-2016
Wekeza Maisha Fund,"3,457,655,337.4300","11,378,367.1200",303.8797,303.8797,297.8022,06-01-2016
Watoto Fund,"2,818,109,024.9000","9,954,830.6400",283.0896,283.0896,280.2587,06-01-2016
Jikimu Fund,"25,993,623,703.1600","212,212,075.5700",122.4889,122.4889,120.0391,06-01-2016
Liquid Fund,"711,000,572.3600","5,206,122.1100",136.5701,136.5701,136.5701,06-01-2016
Umoja Fund,"220,846,433,860.0400","467,369,449.4100",472.5307,472.5307,467.8054,05-01-2016
Wekeza Maisha Fund,"3,451,059,544.0400","1,378,257.4100",303.303,303.303,297.2369,05-01-2016
Watoto Fund,"2,808,943,088.8000","9,942,830.5400",282.5094,282.5094,279.6843,05-01-2016
Jikimu Fund,"25,842,637,139.4900","211,253,471.2600",122.33,122.33,119.8834,05-01-2016
Liquid Fund,"710,746,982.4800","5,206,122.1100",136.5214,136.5214,136.5214,05-01-2016
Umoja Fund,"221,415,667,568.1700","466,909,560.6300",474.2153,474.2153,469.4732,04-01-2016
Wekeza Maisha Fund,"3,456,859,422.1800","11,377,295.2700",303.8384,303.8384,297.7617,04-01-2016
Watoto Fund,"2,809,993,456.6200","9,925,822.6900",283.0993,283.0993,280.2683,04-01-2016
Jikimu Fund,"26,366,057,859.7800","209,990,561.0400",125.5583,125.5583,123.0471,04-01-2016
